location,dept,below 0,0-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90,90-100,above 100
MT Bisson Creek,6,734.6293706293707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NV TUSCARORA,85,133.3201251303441,171.5,NaN,56.0,120.0,NaN,152.0,NaN,NaN,NaN,NaN,206.5
NE IMPERIAL,74,2173.505107832009,2301.0,2137.5714285714284,2212.6153846153848,2247.090909090909,2345.5,2177.25,2059.3333333333335,3219.0,NaN,1777.0,NaN
MT Bisson Creek,7,1648.6923076923076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MT GINGER MONTANA,54,13.481720430107528,2.0,2.0,2.6666666666666665,2.0,4.0,NaN,NaN,NaN,NaN,NaN,NaN
MT Bisson Creek,27,107.83216783216783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CA HERNANDEZ CALIFORNIA,12,4.441326530612245,4.714285714285714,6.0,5.037037037037037,4.928571428571429,5.5,5.333333333333333,6.5,4.666666666666667,12.0,3.25,6.0
CO Nast Lake,81,5765.505091649695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NM MOUNTAINAIR,28,7.849846782431052,3.75,3.8,5.857142857142857,5.0,4.0,4.0,9.0,NaN,NaN,NaN,NaN
AK HIDDEN FALLS HATCHERY,20,589.2197916666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KS HORTON,24,421.7962308598351,494.5263157894737,492.27272727272725,485.7894736842105,483.57142857142856,377.6666666666667,349.8666666666667,408.8181818181818,325.3,380.54545454545456,368.8888888888889,388.47058823529414
GA EDISON,4,875.6424242424242,846.7857142857143,863.5294117647059,856.2173913043479,849.1875,807.5263157894736,783.1428571428571,765.0833333333334,799.8,767.3333333333334,846.5,NaN
GA EDISON,5,19.165644171779142,9.428571428571429,9.764705882352942,9.73913043478261,7.625,10.894736842105264,9.071428571428571,11.416666666666666,5.0,14.666666666666666,11.0,NaN
AK HIDDEN FALLS HATCHERY,21,1113.090625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NV TUSCARORA,87,1440.3315954118873,1355.5,NaN,1906.0,1375.0,NaN,1549.0,NaN,NaN,NaN,NaN,1130.5
TX HEBBRONVILLE,1,1070.9656750572083,1024.5333333333333,1075.111111111111,954.88,1010.28,910.4117647058823,945.5,872.5769230769231,882.0666666666667,856.3508771929825,852.6938775510204,896.8877551020408
CO Nast Lake,82,3825.546843177189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CA HERNANDEZ CALIFORNIA,13,1746.955782312925,1672.857142857143,1645.8125,1706.5925925925926,1651.5714285714287,1696.9166666666667,1600.6666666666667,1675.3333333333333,1991.0,1562.0,1812.0,1612.0
MT Bisson Creek,8,2096.125874125874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LA ROBSON,58,401.241610738255,415.0,343.8888888888889,403.1764705882353,358.9047619047619,341.32,394.57575757575756,386.0810810810811,408.2916666666667,422.85714285714283,438.77272727272725,364.40384615384613
KS HORTON,25,951.2296819787986,998.1578947368421,1018.0,1078.0526315789473,970.0714285714286,1012.3333333333334,951.4,1056.7272727272727,973.3,949.3636363636364,907.3333333333334,947.8235294117648
MT Bisson Creek,28,40.54545454545455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MT GINGER MONTANA,55,2074.0888192267503,1258.0,1493.0,1386.3333333333333,1226.5,1157.0,NaN,NaN,NaN,NaN,NaN,NaN
MT Bisson Creek,9,4140.972027972028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MT Bisson Creek,29,233.020979020979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO Nast Lake,83,1564.1751527494907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TX HEBBRONVILLE,2,1540.670480549199,1598.9666666666667,1600.4814814814815,1573.68,1613.32,1579.2941176470588,1612.138888888889,1544.5576923076924,1595.3111111111111,1570.982456140351,1566.938775510204,1661.6530612244899
NE IMPERIAL,77,31.384615384615383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MT GINGER MONTANA,56,793.9989550679206,244.5,140.0,341.0,281.0,469.0,NaN,NaN,NaN,NaN,NaN,NaN
AK HIDDEN FALLS HATCHERY,22,1153.4270833333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KS HORTON,26,637.0306242638399,510.42105263157896,516.7272727272727,573.0526315789474,502.42857142857144,482.2,478.8,508.27272727272725,425.7,485.27272727272725,487.6666666666667,484.70588235294116
LA ROBSON,59,127.96644295302013,69.70588235294117,77.77777777777777,66.08823529411765,83.0952380952381,67.48,67.72727272727273,78.56756756756756,71.41666666666667,66.42857142857143,71.5,67.82692307692308
CA HERNANDEZ CALIFORNIA,14,260.94444444444446,220.76190476190476,215.25,219.62962962962962,199.5,240.16666666666666,199.55555555555554,232.66666666666666,383.0,189.0,306.0,211.2
GA EDISON,6,1.3870967741935485,1.5,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK HIDDEN FALLS HATCHERY,23,3104.889583333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CA IMPERIAL,71,829.9948630136986,701.3684210526316,745.1764705882352,625.7391304347826,756.0666666666667,660.4285714285714,776.1538461538462,768.6538461538462,758.1,848.6875,769.64,864.2663316582915
TX HEBBRONVILLE,3,67.45308924485126,62.666666666666664,60.03703703703704,72.24,63.12,58.088235294117645,65.41666666666667,54.21153846153846,51.733333333333334,60.01754385964912,75.71428571428571,112.60204081632654
UT Mammoth-Cottonwood,40,8870.972027972028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GA EDISON,7,54.875757575757575,48.785714285714285,75.94117647058823,51.391304347826086,99.6875,72.3157894736842,80.35714285714286,76.41666666666667,69.0,30.666666666666668,49.0,NaN
TX HEBBRONVILLE,10,51.24256292906178,53.46666666666667,53.111111111111114,53.72,53.08,53.44117647058823,51.638888888888886,53.46153846153846,48.86666666666667,51.40350877192982,52.59183673469388,52.755102040816325
NE IMPERIAL,1,3271.964812712826,2355.7894736842104,2618.5,2658.5384615384614,2705.7272727272725,2905.375,2936.0,2889.6666666666665,3120.0,NaN,3046.0,NaN
KS HORTON,27,148.113074204947,128.21052631578948,121.18181818181819,120.78947368421052,117.35714285714286,114.2,108.93333333333334,125.54545454545455,107.6,116.63636363636364,113.33333333333333,107.58823529411765
NE IMPERIAL,78,0.046511627906976744,2.0,2.0,2.0,2.0,NaN,NaN,2.0,NaN,NaN,NaN,NaN
AK HIDDEN FALLS HATCHERY,24,888.5291666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KS HORTON,28,48.05771495877503,36.8421052631579,31.818181818181817,35.8421052631579,35.285714285714285,31.466666666666665,32.266666666666666,45.0,28.2,29.0,37.111111111111114,22.58823529411765
SD HOT SPRINGS,71,451.89625668449196,474.0,498.45454545454544,493.57142857142856,520.8333333333334,452.6666666666667,468.0,449.0,446.0,415.0,NaN,NaN
UT Mammoth-Cottonwood,41,293.2937062937063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GA EDISON,8,530.3030303030303,518.9285714285714,542.5294117647059,513.9130434782609,533.9375,463.8421052631579,497.35714285714283,424.25,516.4,444.0,505.5,NaN
MT GINGER MONTANA,58,220.00574712643677,100.0,114.0,199.0,127.0,62.0,NaN,NaN,NaN,NaN,NaN,NaN
CA IMPERIAL,72,12327.368150684932,9744.736842105263,9962.29411764706,9340.391304347826,9817.466666666667,9239.357142857143,9861.153846153846,10453.76923076923,10482.4,10232.125,10192.88,10451.608040201005
TX HEBBRONVILLE,4,1531.0686498855835,1520.3333333333333,1496.888888888889,1508.28,1532.92,1492.0588235294117,1544.5555555555557,1478.326923076923,1521.8,1514.2456140350878,1484.3877551020407,1556.4285714285713
CA HERNANDEZ CALIFORNIA,16,89.82766439909297,77.85714285714286,78.0,81.77777777777777,77.0,81.16666666666667,76.11111111111111,85.66666666666667,121.0,97.0,95.0,61.8
CO Nast Lake,85,339.2067209775967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NE IMPERIAL,79,3858.929625425653,3948.4736842105262,4136.357142857143,4215.153846153846,4163.636363636364,4411.625,4108.75,4098.0,4499.0,NaN,3925.0,NaN
CO VALLECITO DAM,30,1097.1958041958042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NE IMPERIAL,2,6037.716231555051,5718.210526315789,6024.357142857143,5911.7692307692305,5889.090909090909,6034.25,6149.0,6090.666666666667,6117.0,NaN,6534.0,NaN
TX HEBBRONVILLE,11,106.97025171624713,104.83333333333333,85.5925925925926,100.24,107.12,105.55882352941177,108.55555555555556,105.40384615384616,110.97777777777777,113.52631578947368,106.63265306122449,112.92857142857143
NE IMPERIAL,3,2717.0022701475596,4455.631578947368,3333.9285714285716,3001.6153846153848,2819.909090909091,2544.875,2504.75,2499.0,3425.0,NaN,1668.0,NaN
GA EDISON,9,4.167420814479638,4.357142857142857,6.882352941176471,6.409090909090909,10.25,8.789473684210526,9.785714285714286,7.166666666666667,8.8,2.6666666666666665,4.5,NaN
TX HEBBRONVILLE,12,8.391304347826088,9.0,8.555555555555555,8.24,8.64,8.529411764705882,8.666666666666666,8.076923076923077,9.377777777777778,9.596491228070175,8.612244897959183,8.612244897959183
SD HOT SPRINGS,72,5630.288770053476,4651.0,4250.818181818182,4769.285714285715,4443.083333333333,4098.0,4170.75,4214.0,3509.0,3774.0,NaN,NaN
AK HIDDEN FALLS HATCHERY,25,1455.0291666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TX HEBBRONVILLE,5,66.08009153318078,51.333333333333336,56.03703703703704,55.32,54.8,48.794117647058826,44.05555555555556,50.92307692307692,49.31111111111111,50.421052631578945,44.97959183673469,36.45918367346939
CA HERNANDEZ CALIFORNIA,17,69.6734693877551,50.95238095238095,49.25,57.22222222222222,50.5,54.583333333333336,44.111111111111114,46.666666666666664,69.66666666666667,30.0,61.0,44.0
MT GINGER MONTANA,59,176.68965517241378,59.5,28.0,50.0,48.5,41.0,NaN,NaN,NaN,NaN,NaN,NaN
CO VALLECITO DAM,31,544.2587412587412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KS HORTON,29,469.3321554770318,454.1578947368421,439.8181818181818,430.57894736842104,457.85714285714283,480.8,435.3333333333333,446.72727272727275,464.7,462.8181818181818,490.3333333333333,439.88235294117646
UT Mammoth-Cottonwood,42,1678.8531468531469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO Nast Lake,87,2486.5336048879835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CA HERNANDEZ CALIFORNIA,18,39.738255033557046,17.666666666666668,21.0,4.714285714285714,10.5,7.166666666666667,0.0,14.0,19.0,NaN,19.0,NaN
TX HEBBRONVILLE,6,4.194774346793349,5.555555555555555,5.592592592592593,5.3478260869565215,4.6521739130434785,5.6875,4.833333333333333,5.92,5.558139534883721,5.851851851851852,4.833333333333333,5.224489795918367
CA IMPERIAL,74,3144.5633561643835,3015.2105263157896,3134.764705882353,2913.9565217391305,2963.6666666666665,2886.6428571428573,2909.846153846154,3070.3076923076924,2977.75,3126.8125,3075.72,3169.241206030151
AK Summit Creek,90,12310.179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK HIDDEN FALLS HATCHERY,26,960.075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO VALLECITO DAM,32,1954.5314685314686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NE IMPERIAL,4,3402.895573212259,3496.4736842105262,3665.214285714286,3674.923076923077,3658.5454545454545,3802.625,3817.75,3703.3333333333335,3932.0,NaN,3864.0,NaN
WI HALES CORNERS-WHITNALL PK,80,1709.048167539267,1724.090909090909,1708.888888888889,1662.0,1675.6666666666667,1774.75,1756.0,1781.5,1703.0,1820.0,NaN,NaN
TX HEBBRONVILLE,13,1436.3363844393593,1452.0333333333333,1437.148148148148,1449.28,1464.32,1420.7941176470588,1440.3055555555557,1408.2692307692307,1430.8,1427.9649122807018,1410.3469387755101,1456.2755102040817
CO VALLECITO DAM,33,1757.2097902097903,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK SALCHA ALASKA,80,7.081659973226238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MI KALKASKA,60,28.97136563876652,24.88888888888889,20.4,23.5,23.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UT Mammoth-Cottonwood,44,1217.7552447552448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK AURORA,90,6305.8601398601395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NE IMPERIAL,5,3934.8649262202043,2309.6315789473683,3015.714285714286,2846.769230769231,2579.090909090909,2655.875,2713.75,3090.6666666666665,2642.0,NaN,3162.0,NaN
WI HALES CORNERS-WHITNALL PK,81,2748.835602094241,2691.181818181818,2725.4444444444443,2727.0,2759.6666666666665,2700.5,2662.0,2976.5,2874.5,3119.0,NaN,NaN
AK Granite Crk,1,2112.328671328671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TN WHITE HOUSE,51,0.3891891891891892,0.5,0.3333333333333333,0.4,0.5,0.75,0.0,0.42857142857142855,0.3333333333333333,NaN,NaN,0.3333333333333333
AK Summit Creek,91,10032.262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SD HOT SPRINGS,74,1690.035294117647,1895.2727272727273,1826.0,1809.6666666666667,1718.4166666666667,1511.6666666666667,1606.75,1667.0,1445.0,1443.5,NaN,NaN
AK HIDDEN FALLS HATCHERY,27,195.77916666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TX HEBBRONVILLE,7,46.52402745995423,53.9,59.81481481481482,52.2,52.92,64.79411764705883,62.72222222222222,77.1923076923077,73.35555555555555,85.19298245614036,72.61224489795919,70.6938775510204
TX HEBBRONVILLE,14,146.37757437070937,140.5,130.07407407407408,137.72,128.32,139.7058823529412,138.52777777777777,136.5,143.62222222222223,149.78947368421052,135.81632653061226,127.28571428571429
TN WHITE HOUSE,52,140.7148058252427,123.85,119.46666666666667,117.27272727272727,119.77272727272727,116.84210526315789,119.6923076923077,118.4,108.33333333333333,110.0,NaN,116.85714285714286
UT Mammoth-Cottonwood,45,5.173913043478261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK Summit Creek,92,18145.027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NE IMPERIAL,6,833.0034052213393,822.0,914.0714285714286,886.9230769230769,842.4545454545455,782.25,857.0,716.3333333333334,651.0,NaN,1086.0,NaN
WI HALES CORNERS-WHITNALL PK,82,3206.820942408377,2999.909090909091,3096.8888888888887,3178.8,3229.0,3343.5,3283.5,3398.5,3414.0,3562.0,NaN,NaN
AK Granite Crk,2,5103.755244755244,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TX HEBBRONVILLE,8,1370.2700228832953,1343.2,1335.888888888889,1346.4,1387.8,1316.9117647058824,1351.5,1281.5384615384614,1330.111111111111,1308.9649122807018,1314.4285714285713,1397.3979591836735
AK HIDDEN FALLS HATCHERY,28,84.32395833333334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NV TUSCARORA,20,173.96246089676745,172.0,NaN,213.0,181.0,NaN,163.0,NaN,NaN,NaN,NaN,198.5
AK AURORA,91,4409.5874125874125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO VALLECITO DAM,34,3591.3076923076924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK SALCHA ALASKA,81,1013.3123393316196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK SALCHA ALASKA,82,1577.188946015424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK Summit Creek,93,8268.046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TX HEBBRONVILLE,9,7.132723112128146,12.333333333333334,12.25925925925926,12.08,12.2,14.294117647058824,13.472222222222221,15.192307692307692,14.644444444444444,14.385964912280702,13.816326530612244,13.387755102040817
NE IMPERIAL,7,2724.0238365493756,2492.9473684210525,3069.3571428571427,3170.076923076923,2983.090909090909,3289.375,2923.0,3065.3333333333335,2965.0,NaN,3193.0,NaN
WI HALES CORNERS-WHITNALL PK,83,818.3424083769634,875.7272727272727,844.8888888888889,834.2,867.0,805.0,826.0,918.5,812.5,969.0,NaN,NaN
